"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,98,"10001, 10118","6 months - 17 years",758,506.1,"2024 - 25","Q2","Flu",
"Chinatown/Lower East Side",10002,45,"10002","6 months - 17 years",1240,2294.35,"2024 - 25","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,57,"10003","6 months - 17 years",815,936,"2024 - 25","Q2","Flu",
"Financial District",10004,96,"10004","6 months - 17 years",152,150.16,"2024 - 25","Q2","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",291,214.8,"2024 - 25","Q2","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",164,79.05,"2024 - 25","Q2","Flu",
"TriBeCa",10007,91,"10007","6 months - 17 years",468,466.63,"2024 - 25","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,40,"10009","6 months - 17 years",893,1375.53,"2024 - 25","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,78,"10010","6 months - 17 years",782,748.4,"2024 - 25","Q2","Flu",
"Chelsea",10011,55,"10011","6 months - 17 years",918,1278.33,"2024 - 25","Q2","Flu",
"Greenwich Village/SoHo",10012,55,"10012","6 months - 17 years",438,499.29,"2024 - 25","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,71,"10013","6 months - 17 years",1028,1110.47,"2024 - 25","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,57,"10014","6 months - 17 years",621,658.91,"2024 - 25","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,71,"10016","6 months - 17 years",1129,1253.96,"2024 - 25","Q2","Flu",
"East Midtown/Murray Hill",10017,99,"10017","6 months - 17 years",1024,326.91,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,89,"10018","6 months - 17 years",169,138.92,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,87,"10019, 10020","6 months - 17 years",1117,976.18,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10021,74,"10021","6 months - 17 years",1577,1391.83,"2024 - 25","Q2","Flu",
"East Midtown",10022,74,"10022","6 months - 17 years",916,852.52,"2024 - 25","Q2","Flu",
"Lincoln Square",10023,67,"10023","6 months - 17 years",2130,2493.03,"2024 - 25","Q2","Flu",
"Upper West Side",10024,60,"10024","6 months - 17 years",2022,2465.25,"2024 - 25","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,48,"10025","6 months - 17 years",2256,3053.28,"2024 - 25","Q2","Flu",
"Central Harlem (South)",10026,38,"10026","6 months - 17 years",854,1667.31,"2024 - 25","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,39,"10027","6 months - 17 years",1324,2487.43,"2024 - 25","Q2","Flu",
"Upper East Side/Yorkville",10028,57,"10028","6 months - 17 years",1395,1520.75,"2024 - 25","Q2","Flu",
"East Harlem",10029,48,"10029","6 months - 17 years",2167,3153.32,"2024 - 25","Q2","Flu",
"Central Harlem (North)",10030,30,"10030","6 months - 17 years",645,1551.81,"2024 - 25","Q2","Flu",
"Hamilton Heights/West Harlem",10031,35,"10031","6 months - 17 years",1178,2247.6,"2024 - 25","Q2","Flu",
"Washington Heights (South)",10032,35,"10032","6 months - 17 years",1059,2157.74,"2024 - 25","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,39,"10033","6 months - 17 years",1263,2235.43,"2024 - 25","Q2","Flu",
"Inwood/Washington Heights (North)",10034,33,"10034","6 months - 17 years",860,1667.95,"2024 - 25","Q2","Flu",
"East Harlem",10035,36,"10035","6 months - 17 years",849,1664.15,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","6 months - 17 years",797,636.12,"2024 - 25","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,78,"10037","6 months - 17 years",569,709.21,"2024 - 25","Q2","Flu",
"Chinatown/Financial District",10038,57,"10038","6 months - 17 years",453,605.18,"2024 - 25","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,30,"10039","6 months - 17 years",628,1520.02,"2024 - 25","Q2","Flu",
"Washington Heights (North)",10040,38,"10040","6 months - 17 years",894,1723.06,"2024 - 25","Q2","Flu",
"Roosevelt Island",10044,64,"10044","6 months - 17 years",470,414.11,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10065,85,"10065","6 months - 17 years",1342,1117.27,"2024 - 25","Q2","Flu",
"Lincoln Square",10069,99,"10069","6 months - 17 years",357,237.34,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10075,78,"10075, 10162","6 months - 17 years",1015,837.44,"2024 - 25","Q2","Flu",
"Upper East Side/Yorkville",10128,65,"10128","6 months - 17 years",2059,1941.71,"2024 - 25","Q2","Flu",
"Battery Park City",10280,47,"10280","6 months - 17 years",287,567.3,"2024 - 25","Q2","Flu",
"Battery Park City",10282,70,"10282","6 months - 17 years",402,512.04,"2024 - 25","Q2","Flu",
"Silver Lake/St. George",10301,39,"10301","6 months - 17 years",1105,1819.46,"2024 - 25","Q2","Flu",
"Elm Park",10302,41,"10302","6 months - 17 years",574,1058.19,"2024 - 25","Q2","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,29,"10303","6 months - 17 years",659,1539.64,"2024 - 25","Q2","Flu",
"New Dorp/Todt Hill",10304,36,"10304","6 months - 17 years",1130,2161.69,"2024 - 25","Q2","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,34,"10305","6 months - 17 years",1062,1930.14,"2024 - 25","Q2","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,32,"10306","6 months - 17 years",1259,2469.93,"2024 - 25","Q2","Flu",
"Tottenville",10307,17,"10307","6 months - 17 years",259,672.74,"2024 - 25","Q2","Flu",
"Great Kills",10308,29,"10308","6 months - 17 years",648,1287.66,"2024 - 25","Q2","Flu",
"Charleston/Prince's Bay/Woodrow",10309,21,"10309","6 months - 17 years",650,1670.15,"2024 - 25","Q2","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,34,"10310","6 months - 17 years",758,1420.65,"2024 - 25","Q2","Flu",
"Annadale/Rossville",10312,27,"10312","6 months - 17 years",1333,2794.14,"2024 - 25","Q2","Flu",
"Bloomfield/Freshkills Park",10314,32,"10314","6 months - 17 years",2135,4230.1,"2024 - 25","Q2","Flu",
"Concourse/Melrose",10451,51,"10451","6 months - 17 years",1840,2637.2,"2024 - 25","Q2","Flu",
"Concourse/Highbridge",10452,43,"10452","6 months - 17 years",2558,4762.21,"2024 - 25","Q2","Flu",
"Morris Heights/Mount Hope/University Heights",10453,43,"10453","6 months - 17 years",2642,4778.73,"2024 - 25","Q2","Flu",
"Mott Haven/Port Morris",10454,42,"10454","6 months - 17 years",1250,2393.95,"2024 - 25","Q2","Flu",
"Mott Haven",10455,46,"10455","6 months - 17 years",1568,2521.08,"2024 - 25","Q2","Flu",
"Claremont/Morrisania",10456,43,"10456","6 months - 17 years",3043,5387.04,"2024 - 25","Q2","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,42,"10457","6 months - 17 years",2801,4950.89,"2024 - 25","Q2","Flu",
"Belmont/Fordham University/Kingsbridge",10458,40,"10458","6 months - 17 years",2687,4887.02,"2024 - 25","Q2","Flu",
"Charlotte Gardens/Hunts Point",10459,39,"10459","6 months - 17 years",1728,3164.32,"2024 - 25","Q2","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,40,"10460","6 months - 17 years",2064,3576.26,"2024 - 25","Q2","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,44,"10461","6 months - 17 years",1577,2481.75,"2024 - 25","Q2","Flu",
