"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,89,"10001, 10118","13 - 17 years","2 or 3",610,683.7,2025,"Q4","HPV",
"Chinatown/Lower East Side",10002,73,"10002","13 - 17 years","2 or 3",2317,3160.5,2025,"Q4","HPV",
"East Village/Gramercy/Greenwich Village",10003,63,"10003","13 - 17 years","2 or 3",582,928.53,2025,"Q4","HPV",
"Financial District",10004,99,"10004","13 - 17 years","2 or 3",113,74.91,2025,"Q4","HPV",
"Financial District",10005,99,"10005","13 - 17 years","2 or 3",147,82.63,2025,"Q4","HPV",
"Financial District",10006,99,"10006","13 - 17 years","2 or 3",95,67.09,2025,"Q4","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years","2 or 3",258,210.74,2025,"Q4","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,60,"10009","13 - 17 years","2 or 3",1188,1991.53,2025,"Q4","HPV",
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","13 - 17 years","2 or 3",619,589.14,2025,"Q4","HPV",
"Chelsea",10011,70,"10011","13 - 17 years","2 or 3",761,1088.19,2025,"Q4","HPV",
"Greenwich Village/SoHo",10012,60,"10012","13 - 17 years","2 or 3",320,533.8,2025,"Q4","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,90,"10013","13 - 17 years","2 or 3",818,910.1,2025,"Q4","HPV",
"Hudson Square/Meatpacking District/West Village",10014,63,"10014","13 - 17 years","2 or 3",398,628.46,2025,"Q4","HPV",
"Kips Bay/Murray Hill/NoMad",10016,92,"10016","13 - 17 years","2 or 3",748,812.17,2025,"Q4","HPV",
"East Midtown/Murray Hill",10017,99,"10017","13 - 17 years","2 or 3",426,224.8,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 - 17 years","2 or 3",140,129.3,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,92,"10019, 10020","13 - 17 years","2 or 3",742,806.89,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10021,88,"10021","13 - 17 years","2 or 3",1007,1138.75,2025,"Q4","HPV",
"East Midtown",10022,89,"10022","13 - 17 years","2 or 3",583,655.17,2025,"Q4","HPV",
"Lincoln Square",10023,79,"10023","13 - 17 years","2 or 3",1584,1992.63,2025,"Q4","HPV",
"Upper West Side",10024,65,"10024","13 - 17 years","2 or 3",1728,2661.8,2025,"Q4","HPV",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,62,"10025","13 - 17 years","2 or 3",2310,3724.66,2025,"Q4","HPV",
"Central Harlem (South)",10026,82,"10026","13 - 17 years","2 or 3",1346,1640.98,2025,"Q4","HPV",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,76,"10027","13 - 17 years","2 or 3",2138,2796.81,2025,"Q4","HPV",
